Date,T2M,WS2M,QV2M,RH2M,PREC,PS,SWRD
18/02/16,28.71,2.16,18.07,75.25,0.57,100.44,5.51
19/02/16,28.52,2.56,18.43,76.75,0.5,100.34,5.82
20/02/16,29.26,2.84,18.62,74.81,0.18,100.2,6
21/02/16,29.66,3.29,18.86,74.44,0.54,100.26,5.98
22/02/16,29.48,2.95,18.92,75,0.76,100.3,5.8
23/02/16,29.09,2.88,18.68,75.12,0.44,100.34,5.49
24/02/16,29.48,2.99,18.74,74.25,0.23,100.29,5.06
25/02/16,28.88,2.97,19.41,79,4.93,100.37,5.32
26/02/16,28.69,3.05,18.98,78.25,5.28,100.39,4.89
27/02/16,28.3,2.85,19.53,81.81,7.08,100.33,5.12
28/02/16,28.29,2.86,19.65,82.38,8.57,100.34,5.32
29/02/16,27.74,2.56,20.14,86.75,12.26,100.46,5.15
01/03/16,27.62,2.16,18.98,82.75,6.41,100.61,5.87
02/03/16,29.2,2.2,18.31,74.25,0.49,100.44,6.08
03/03/16,29.39,2.73,18.43,74.19,0.14,100.24,6.48
04/03/16,29.62,3.13,18.49,73.62,0.16,100.29,6.32
05/03/16,29.6,3.84,19.1,75.5,0.75,100.4,6.26
06/03/16,29.52,3.5,18.86,74.19,0.64,100.44,6.03
07/03/16,29.05,2.14,19.17,77.06,3.72,100.36,5.91
08/03/16,28.44,2.41,19.59,81.19,5.99,100.36,6.26
09/03/16,28.16,2.46,19.1,80.75,3.55,100.37,6.3
10/03/16,28.17,3.22,19.35,81.56,2.68,100.39,6.39
11/03/16,28.65,3.2,19.04,78.88,3.38,100.45,6.21
12/03/16,29.12,3.21,18.55,75,0.67,100.47,6.56
13/03/16,28.94,3.57,18.74,76.31,3.63,100.49,6.82
14/03/16,28.76,2.8,18.74,76.88,2.89,100.61,6.9
15/03/16,29.24,2.41,17.76,72.19,0.18,100.57,7.12
16/03/16,28.89,2.48,18.98,77.12,1.31,100.57,6.96
17/03/16,28.07,2.21,19.1,81.12,3.79,100.59,6.71
18/03/16,27.37,2.25,19.04,84.12,12.38,100.58,6.5
19/03/16,27.27,1.88,18.13,80.62,10.51,100.53,6.74
20/03/16,28.26,2.15,18.74,79.06,3.12,100.54,6.35
21/03/16,28.22,2.29,19.1,80.56,4.49,100.62,6.52
22/03/16,27.69,2.26,18.62,81.06,4.48,100.62,6.84
23/03/16,27.44,2.8,19.23,84.62,7.55,100.48,6.49
24/03/16,26.64,2.41,19.29,88.56,20.73,100.52,6.87
25/03/16,27.58,2.16,17.94,79.56,1.65,100.6,6.96
26/03/16,28.08,2.08,19.29,82.12,7.66,100.57,6.94
27/03/16,28.79,2.06,19.71,80.62,2.98,100.47,6.62
28/03/16,28.5,2.45,20.02,82.88,3.48,100.4,6.69
29/03/16,28.34,2.94,20.2,84.06,3.89,100.37,6.72
30/03/16,28.01,3.09,19.9,84.56,3.44,100.52,6.62
31/03/16,27.9,3.01,19.41,83.12,1.77,100.56,6.02
01/04/16,27.41,3.02,19.53,85.81,2.89,100.48,5.86
02/04/16,27.25,2.52,19.59,86.62,8.94,100.4,6.32
03/04/16,28.26,2.25,19.9,83.5,0.84,100.39,6.3
04/04/16,28.39,2.73,20.2,84,1.95,100.45,6.5
05/04/16,27.9,2.98,20.32,86.69,3.09,100.43,6.43
06/04/16,27.98,3.31,20.08,85.44,4.53,100.32,6.62
07/04/16,27.97,3.03,20.08,85.38,2.88,100.36,6.86
08/04/16,27.73,2.48,20.08,86.69,3.95,100.5,6.98
09/04/16,27.58,1.98,19.35,84.44,3.75,100.56,7.04
10/04/16,27.31,2.02,19.29,85.38,3.3,100.5,7.06
11/04/16,27.86,1.63,19.17,82.38,2.7,100.47,7.01
12/04/16,28.23,1.56,19.41,81.75,4.35,100.44,6.84
13/04/16,28.51,2.27,19.84,82.06,3.24,100.26,6.8
14/04/16,28.45,2.59,20.32,84.19,7.5,100.25,6.84
15/04/16,28.14,2.74,20.57,86.62,12.67,100.39,6.68
16/04/16,27.73,2.55,19.96,86.06,6.04,100.5,6.59
17/04/16,28.23,2.13,19.41,81.88,2.14,100.53,6.71
18/04/16,27.44,2.31,19.47,85.38,4.34,100.62,6.82
19/04/16,28.27,1.82,18.68,78.75,1.61,100.51,6.83
20/04/16,27.65,2.18,19.53,84.56,3.1,100.47,6.96
21/04/16,27.83,1.78,19.96,85.44,1.54,100.45,6.89
22/04/16,28.81,2.12,19.41,79.06,0.25,100.43,7.1
23/04/16,29.01,2.5,19.65,79.06,0.66,100.36,7.05
24/04/16,28.4,2.96,19.65,81.69,1.72,100.3,7.01
25/04/16,27.47,2.77,19.53,85.44,3.06,100.32,6.92
26/04/16,27.97,2.66,19.47,82.88,3.62,100.32,6.87
27/04/16,27.9,2.98,19.84,84.81,6.31,100.4,6.69
28/04/16,27.21,2.11,19.65,87,8.33,100.42,6.78
29/04/16,27.84,1.94,18.25,78.94,1.17,100.37,6.9
30/04/16,28.04,2.09,19.23,81.75,4.5,100.39,6.8
01/05/16,28.25,2.59,19.9,83.44,1.97,100.31,6.67
02/05/16,28.05,3.01,20.08,85.12,5.36,100.33,6.54
03/05/16,28.23,2.79,19.65,82.81,2.04,100.45,6.61
04/05/16,27.71,2.34,18.62,80.81,1.16,100.52,6.84
05/05/16,27.92,2.53,18.68,80,1.66,100.55,6.78
06/05/16,26.98,2.74,19.65,88.25,8.32,100.58,6.71
07/05/16,26.55,2.11,18.62,86.06,4.54,100.61,6.68
08/05/16,26.97,2.55,18.25,82.5,2.58,100.62,6.64
09/05/16,27.05,1.95,18.62,83.75,3.23,100.64,6.68
10/05/16,27.63,2.12,19.23,83.69,1.66,100.6,6.81
11/05/16,27.44,2.21,19.96,87.38,3.75,100.54,6.68
12/05/16,26.87,2.34,20.08,90.88,19.51,100.55,6.53
13/05/16,26.23,2.52,18.98,89.38,6.15,100.57,6.54
14/05/16,26.34,2.87,18.86,88.25,4.41,100.66,6.55
15/05/16,27.22,2.4,18.55,83.06,1.26,100.73,6.83
16/05/16,27.25,2.54,18.86,84.06,5.64,100.79,6.67
17/05/16,26.15,2.77,18.92,89.5,15.27,100.73,6.69
18/05/16,25.94,2.39,18.86,90.25,17.62,100.73,6.82
19/05/16,26.15,1.59,18.25,86.56,3.02,100.74,6.65
20/05/16,26.86,2.16,18.86,85.75,4.03,100.63,6.7
21/05/16,27.13,2.94,19.65,87.75,16.11,100.62,6.56
22/05/16,26.38,3.27,19.47,90.81,19.08,100.79,5.9
23/05/16,25.37,2.91,18.43,91.38,9.91,100.91,6.44
24/05/16,25.65,3.19,18.55,90.62,27.57,100.85,6.4
25/05/16,26.29,2.83,18.74,88.12,6.02,100.74,6.29
26/05/16,26.67,2.21,18.92,86.69,7.35,100.62,6.38
27/05/16,26.46,2.85,19.23,89.19,3.43,100.68,6.31
28/05/16,26.5,2.34,19.04,88.38,1.92,100.8,6.36
29/05/16,26.4,2.8,19.29,89.94,10.42,100.68,6.38
30/05/16,26.49,2.85,18.98,88,12.69,100.58,6.39
31/05/16,26.85,1.98,18.43,83.94,3.47,100.6,6.48
01/06/16,26.67,1.81,18.55,85.25,2.53,100.64,6.57
02/06/16,26.8,2.21,18.8,85.56,3.64,100.64,6.65
03/06/16,26.68,2.18,18.8,86.25,5.14,100.69,6.68
04/06/16,26.73,1.68,18.49,84.75,2.17,100.68,6.55
05/06/16,26.8,1.91,18.92,86.31,5.85,100.66,6.48
06/06/16,26.93,2.03,19.23,87,17.07,100.61,6.49
07/06/16,26.61,2.08,19.41,89.25,10.81,100.67,6.38
08/06/16,26.55,1.59,18.86,87.31,11.07,100.67,6.48
09/06/16,26.07,2.91,19.23,91.12,31.86,100.69,6.33
10/06/16,25.37,2.41,18.43,91.19,53.07,100.75,6.24
11/06/16,25.69,2.63,18.07,87.94,5.5,100.83,6.37
12/06/16,25.02,2.64,17.88,90.62,4.67,100.98,6.14
13/06/16,25.04,2.85,18.01,91.19,20.68,100.95,6.49
14/06/16,25.38,3.67,17.76,88.25,8.51,100.98,6.31
15/06/16,25.26,3.02,17.64,88.25,4.45,101.04,6.33
16/06/16,25.06,3.1,17.7,89.56,5.63,100.92,6.34
17/06/16,25.04,2.78,17.21,87.31,1.18,100.85,6.49
18/06/16,25.24,2.4,17.03,85.69,0.38,100.87,6.51
19/06/16,25.31,2.7,17.64,87.81,4.37,100.83,6.26
20/06/16,25.08,3.65,18.01,90.69,12.59,100.77,6.11
21/06/16,25.15,3.01,17.7,88.94,5.48,100.74,6.13
22/06/16,25.12,2.58,17.4,87.88,3.78,100.81,6.44
23/06/16,24.93,2.34,17.33,88.38,0.81,100.85,6.48
24/06/16,24.99,2.63,17.46,88.75,2.39,100.75,6.53
25/06/16,25.2,3.05,17.21,86.44,0.5,100.7,6.48
26/06/16,24.96,2.65,16.78,85.44,0.2,100.8,6.53
27/06/16,25.17,2.88,17.33,87.25,0.22,100.81,6.37
28/06/16,24.94,3.12,17.46,88.94,1.03,100.81,6.32
29/06/16,25.21,2.73,17.33,87,0.68,100.82,6.42
30/06/16,25.12,2.98,17.27,87.25,1.11,100.83,6.31
01/07/16,25.13,2.22,17.27,87.25,0.48,100.84,6.18
02/07/16,25.22,2.25,17.88,89.81,1.99,100.82,6.32
03/07/16,25.14,2.3,18.01,90.69,5.89,100.86,6.49
04/07/16,24.91,2.92,18.25,92.81,8.66,100.82,6.45
05/07/16,25.45,2.67,17.94,89,0.4,100.87,6.41
06/07/16,25.34,2.68,17.76,88.5,0.41,100.77,6.41
07/07/16,25.48,3.09,17.76,87.75,0.37,100.75,6.42
08/07/16,25.3,2.72,17.76,88.69,0.31,100.78,6.36
09/07/16,25.38,3.25,17.82,88.31,0.25,100.77,6.39
10/07/16,25.01,3.85,17.64,89.38,2.77,100.76,6.42
11/07/16,24.42,3.32,16.66,87.75,2.62,100.79,6.44
12/07/16,24.19,2.74,15.75,84.38,0.07,100.79,6.59
13/07/16,24.25,2.55,16.17,86.38,0.03,100.76,6.47
14/07/16,24.3,3.2,16.3,86.5,0.72,100.69,6.41
15/07/16,24.79,2.96,16.72,86.25,0.22,100.58,6.39
16/07/16,24.73,2.53,17.21,88.88,0.55,100.6,6.1
17/07/16,24.85,2.82,17.4,89.25,1.95,100.62,6.26
18/07/16,24.86,2.59,17.15,88.06,0.94,100.74,6.37
19/07/16,24.8,2.42,17.03,87.88,0.15,100.77,6.31
20/07/16,24.86,3.04,17.09,87.88,0.8,100.69,6.2
21/07/16,24.9,3.51,17.09,87.38,1.8,100.74,6.2
22/07/16,24.72,3.19,16.48,85.62,0.59,100.78,6.3
23/07/16,24.3,3.2,16.3,86.62,0.46,100.75,6.44
24/07/16,24.13,3.17,16.36,87.62,0.65,100.75,6.4
25/07/16,24.27,2.91,16.48,87.62,3.54,100.7,6.43
26/07/16,24.23,2.76,16.85,89.5,4.1,100.67,6.47
27/07/16,24.51,2.71,16.85,88.38,1.72,100.65,6.52
28/07/16,24.46,2.68,16.78,88.38,1.82,100.71,6.65
29/07/16,24.65,2.55,16.97,88.12,2.52,100.69,6.8
30/07/16,24.78,2.85,16.78,86.56,0.42,100.69,6.69
31/07/16,24.87,2.73,16.36,84.12,0.2,100.7,6.69
01/08/16,24.93,2.74,15.99,82.31,0.19,100.79,6.85
02/08/16,24.7,3.1,15.87,82.69,0.17,100.84,6.67
03/08/16,24.73,3.2,15.93,82.56,0.29,100.72,6.65
04/08/16,24.89,2.98,16.17,83.12,0.33,100.7,6.71
05/08/16,24.98,2.75,16.3,83.75,0.36,100.78,6.69
06/08/16,24.98,3.12,16.36,83.88,0.8,100.84,6.56
07/08/16,25.05,3.52,16.66,84.75,0.67,100.77,6.8
08/08/16,25.19,3.52,17.09,86.19,1.23,100.73,6.67
09/08/16,25.24,3.37,16.72,84.56,0.8,100.75,6.72
10/08/16,25.3,3.05,16.54,83.25,0.83,100.74,6.6
11/08/16,25.51,2.62,16.42,81.94,0.23,100.71,6.55
12/08/16,25.14,2.63,16.36,82.88,0.31,100.76,6.26
13/08/16,25.03,3.06,16.48,84.19,0.56,100.67,6.44
14/08/16,24.83,3.19,15.93,82.5,0.55,100.7,6.33
15/08/16,24.58,2.91,15.01,79.38,0.6,100.77,6.43
16/08/16,25.08,2.95,15.08,77.31,0.07,100.73,6.62
17/08/16,24.78,3.47,15.93,82.56,0.55,100.75,6.32
18/08/16,25.32,2.7,16.3,82.19,0.46,100.7,6.55
19/08/16,25.09,2.64,16.91,85.88,2.21,100.69,6.55
20/08/16,24.58,2.18,17.21,89.5,4.82,100.67,6.62
21/08/16,24.8,2.48,16.97,87.62,3.34,100.72,6.49
22/08/16,25.37,2.88,16.66,83.69,2.13,100.67,6.76
23/08/16,25.4,2.89,16.72,83.56,1.98,100.73,6.79
24/08/16,25.09,3.45,16.78,85.19,3.32,100.67,6.62
25/08/16,25.15,3.24,16.54,84.12,3.29,100.61,6.72
26/08/16,25.46,2.91,16.54,82.69,2.88,100.59,6.78
27/08/16,24.79,3.51,16.66,85.94,4.86,100.6,6.83
28/08/16,24.91,3.88,16.97,87,5.57,100.64,6.7
29/08/16,25.01,2.48,16.91,86.5,1.59,100.77,6.94
30/08/16,24.96,2.03,16.91,86.62,2.15,100.78,6.78
31/08/16,24.33,2.38,17.15,90.56,11.75,100.75,6.87
01/09/16,25.15,2.07,16.78,84.94,0.88,100.8,6.88
02/09/16,25.47,2.41,16.54,82.75,0.59,100.7,6.84
03/09/16,25.4,2.83,17.09,85.19,1.43,100.6,6.73
04/09/16,25.44,3.33,17.27,85.75,4.1,100.63,6.81
05/09/16,24.55,3.45,17.03,88.75,4.31,100.75,6.87
06/09/16,25.28,2.26,16.54,83.69,1.66,100.77,7.03
07/09/16,25.55,2.7,16.6,82.69,2.13,100.79,7.08
08/09/16,25.24,2.66,16.91,85.19,1.95,100.75,6.93
09/09/16,25.44,3.08,16.85,84.12,2.84,100.79,6.78
10/09/16,25.15,2.66,16.72,84.81,2.21,100.82,6.68
11/09/16,24.71,3.25,16.3,84.56,3.25,100.78,6.43
12/09/16,25.06,3.2,16.05,81.81,1.31,100.7,7.01
13/09/16,26.21,2.66,16.3,78.06,0.93,100.66,7.14
14/09/16,25.4,4.02,17.15,85.38,5.75,100.62,7.07
15/09/16,25.02,3.64,17.21,87.44,6.58,100.69,7.15
16/09/16,25.55,2.63,16.85,83.44,3.18,100.74,7.1
17/09/16,25.67,1.77,16.85,82.94,3.98,100.69,6.86
18/09/16,25.42,2.27,16.85,83.94,2.87,100.7,7.06
19/09/16,25.9,2.35,16.91,82.25,2.23,100.71,7.11
20/09/16,26.07,2.48,17.21,82.56,2.94,100.6,6.94
21/09/16,25.33,3.27,17.58,87.38,5.2,100.55,6.89
22/09/16,25.37,3.02,17.52,87.12,4.96,100.66,6.93
23/09/16,26.03,2.27,17.03,82.06,1.55,100.76,6.89
24/09/16,26.15,2.55,17.52,83.44,2.78,100.68,6.81
25/09/16,26.15,3.25,17.64,84.38,7.84,100.52,6.9
26/09/16,25.8,3.16,17.58,85.5,6.07,100.54,6.95
27/09/16,25.37,2.41,17.64,87.56,6.16,100.6,6.87
28/09/16,25.18,2.61,17.94,89.88,19.94,100.58,6.99
29/09/16,25.73,2.04,17.7,86.06,9.3,100.61,6.95
30/09/16,25.98,2.29,17.82,85.44,3.39,100.6,6.97
01/10/16,25.91,2.52,18.13,87.12,6.01,100.54,6.75
02/10/16,26.01,2.07,18.07,86.38,9.7,100.54,6.99
03/10/16,25.9,2.65,18.07,86.88,5.42,100.52,7.04
04/10/16,26.19,2.17,18.01,85.5,2.35,100.55,6.74
05/10/16,26.59,1.92,18.01,83.38,2.05,100.4,6.57
06/10/16,26.55,2.12,17.88,82.94,1.8,100.32,6.7
07/10/16,26.4,2.3,18.19,85.06,3.91,100.4,6.3
08/10/16,25.97,3.3,18.19,87.12,22.09,100.47,6.51
09/10/16,25.59,3.11,18.19,88.94,25.41,100.55,6.79
10/10/16,25.67,2.34,17.58,85.56,0.66,100.57,6.97
11/10/16,26.26,1.9,18.13,85.19,2.28,100.52,6.69
12/10/16,26.18,2.73,18.43,87.12,3.26,100.5,6.93
13/10/16,26.25,2.32,18.49,87.19,4.77,100.58,6.87
14/10/16,26.47,2.51,18.74,87.06,7.23,100.51,6.85
15/10/16,25.4,2.12,18.55,91.44,7.08,100.5,6.63
16/10/16,26.21,1.69,18.19,85.94,3.91,100.53,6.62
17/10/16,25.73,2.18,18.55,89.88,3.81,100.53,6.74
18/10/16,26.22,2.07,18.31,86.56,6.51,100.55,6.82
19/10/16,25.97,1.77,18.01,86.5,5.19,100.57,6.95
20/10/16,26.4,1.6,18.01,84.38,3,100.48,6.86
21/10/16,26.38,2.2,18.43,86.12,7.76,100.56,6.53
22/10/16,26.09,1.8,18.13,86.25,4.87,100.65,6.72
23/10/16,26.51,1.7,18.01,83.69,1.07,100.56,6.68
24/10/16,26.69,1.78,18.37,84.25,0.75,100.39,6.62
25/10/16,26.91,2.02,18.49,83.81,1.66,100.36,6.62
26/10/16,26.98,2.23,18.86,85,3.48,100.29,6.59
27/10/16,27.15,1.6,18.86,84.25,2.11,100.35,6.42
28/10/16,27.04,1.99,18.74,84.38,5.15,100.48,6.63
29/10/16,26.55,2.41,18.68,86.31,7.48,100.48,6.41
30/10/16,26.37,2.06,18.55,86.69,7.26,100.46,6.45
31/10/16,26.22,1.55,18.25,86.06,7.96,100.53,6.51
01/11/16,26.27,1.38,18.37,86.31,9.12,100.63,6.58
02/11/16,26.12,1.7,18.68,88.5,2.55,100.62,6.51
03/11/16,26.49,1.84,18.55,86.06,2.34,100.61,6.39
04/11/16,26.69,1.45,18.31,84,1.85,100.71,6.52
05/11/16,26.84,1.34,18.19,83,1.57,100.69,6.4
06/11/16,27.16,1.29,18.43,82.81,2.94,100.58,6.41
07/11/16,26.9,1.69,18.92,85.75,5.2,100.54,6.14
08/11/16,27.29,1.49,18.55,82.44,4.62,100.56,6.21
09/11/16,27.69,1.22,18.74,81.44,4.66,100.56,5.93
10/11/16,27.19,1.6,18.92,84.69,6.84,100.53,5.73
11/11/16,27.01,1.93,18.55,83.69,7.18,100.44,6.04
12/11/16,26.75,2.05,18.31,83.75,3.69,100.36,6.12
13/11/16,27.08,1.52,18.31,82,2.35,100.28,6.3
14/11/16,27.12,1.66,18.74,83.62,5.39,100.29,6.13
15/11/16,27.02,1.85,18.98,85.31,2.52,100.32,6.09
16/11/16,27.21,1.53,18.62,83.06,3.83,100.33,6.05
17/11/16,27.23,1.66,18.68,83.25,2.2,100.29,5.88
18/11/16,27.3,1.8,18.74,83.31,2.23,100.26,5.9
19/11/16,27.69,1.34,18.74,81.25,2.11,100.31,5.92
20/11/16,27.74,1.65,18.98,82.12,2.18,100.32,5.97
21/11/16,26.94,1.82,19.35,87.12,4.47,100.37,5.75
22/11/16,27,2.16,19.1,85.94,6.87,100.4,5.73
23/11/16,26.56,1.59,18.8,86.69,4.95,100.51,5.74
24/11/16,26.97,1.38,19.04,85.88,5.46,100.53,5.74
25/11/16,26.79,1.35,19.23,87.31,5,100.42,5.82
26/11/16,26.83,2.3,19.53,88.5,3.07,100.33,5.9
27/11/16,26.89,1.8,19.23,86.81,0.74,100.36,5.91
28/11/16,27.06,2.35,18.68,83.81,0.6,100.38,5.95
29/11/16,27.26,2.12,18.49,82.25,0.88,100.44,6.15
30/11/16,26.55,1.83,18.68,86.19,1.1,100.6,5.91
01/12/16,27.45,1.79,18.74,82.56,0.55,100.55,5.85
02/12/16,27.65,1.74,18.98,82.75,4.01,100.51,5.93
03/12/16,26.69,1.79,19.29,88.19,5.15,100.47,5.86
04/12/16,26.44,1.52,18.68,86.56,2.91,100.48,5.7
05/12/16,26.36,1.75,18.43,86.19,3.2,100.59,5.66
06/12/16,27.48,1.54,18.19,80.31,1.75,100.53,5.65
07/12/16,26.64,1.81,18.74,86,3.24,100.48,5.4
08/12/16,26.42,1.61,19.1,88.62,4.95,100.55,5.54
09/12/16,26.07,1.46,18.49,87.88,2.12,100.52,5.54
10/12/16,26.73,1.13,18.74,85.75,4.37,100.41,5.7
11/12/16,26.08,1.32,18.31,86.75,4.88,100.47,5.52
12/12/16,26.3,1.59,18.07,84.44,3.26,100.48,5.65
13/12/16,27.02,1.34,17.94,81,1.45,100.46,5.79
14/12/16,26.62,2.03,18.8,86.62,4.61,100.48,5.52
15/12/16,26.24,1.87,18.98,89.31,6.35,100.58,5.49
16/12/16,26.69,1.38,18.37,84.5,3.92,100.54,5.76
17/12/16,26.96,1.34,18.43,83.31,1.73,100.38,5.54
18/12/16,26.19,2.14,18.25,86.25,2.09,100.44,5.61
19/12/16,26.49,1.5,17.46,81.62,1.39,100.39,5.64
20/12/16,27.59,1.49,18.43,80.81,0.87,100.26,5.53
21/12/16,27.58,1.72,18.55,81.31,0.92,100.18,5.75
22/12/16,27.76,1.97,18.8,81.5,2.55,100.27,5.43
23/12/16,26.83,2.23,17.94,82.19,1.54,100.29,4.78
24/12/16,26.97,2.29,18.8,85.19,0.79,100.31,5.2
25/12/16,27.7,1.33,18.55,80.62,1.06,100.3,5.35
26/12/16,26.91,1.37,18.37,83.5,2.77,100.37,5.36
27/12/16,26.14,1.37,15.81,75.56,0.64,100.51,5.13
28/12/16,26.64,0.93,15.56,72.69,0.48,100.5,4.47
29/12/16,27.04,1.14,16.24,74.31,0.05,100.5,4.17
30/12/16,27.1,1.2,17.15,77.75,0.06,100.52,4.37
31/12/16,27.36,1.34,17.46,78.38,0.06,100.49,4.51
01/01/17,27.48,1.46,17.82,79.5,0.04,100.43,5.01
02/01/17,27.64,1.81,17.94,79.38,0.06,100.46,5.13
03/01/17,27.81,1.41,17.7,77.56,0.04,100.49,5.1
04/01/17,27.77,1.59,16.78,75.12,0.05,100.48,5.47
05/01/17,27.15,2.26,17.09,77.81,0.09,100.4,5.44
06/01/17,27.51,1.84,17.58,78.44,2.5,100.37,4.94
07/01/17,27.51,1.76,17.82,79.69,2.08,100.45,5.31
08/01/17,27.27,1.81,18.01,80.88,5.12,100.53,5.21
09/01/17,26.94,1.23,17.76,80.69,2.05,100.37,5.08
10/01/17,27.41,1.73,17.7,79.31,1.51,100.27,5.19
11/01/17,27.42,2.56,18.43,81.69,3.91,100.31,5.68
12/01/17,27.01,2.1,18.37,83.12,7.32,100.45,5.73
13/01/17,27.37,1.62,18.31,81.5,6.99,100.38,5.74
14/01/17,27.3,1.7,14.47,66.19,2.55,100.28,5.79
15/01/17,26.93,1.16,14.1,65.25,0.46,100.34,5.48
16/01/17,26.95,1.97,16.17,74.88,0.01,100.29,5.74
17/01/17,27.33,2.49,17.58,79.19,0.02,100.27,5.57
18/01/17,27.23,2.45,18.43,82.5,0.16,100.36,5.48
19/01/17,27.37,1.97,18.37,81.56,0.27,100.39,5.59
20/01/17,27.83,2.14,18.74,81.06,0.35,100.34,5.44
21/01/17,27,2.38,19.59,88.06,18.84,100.37,5.35
22/01/17,25.9,2.66,17.7,85.31,11.94,100.51,5.69
23/01/17,26.22,2.08,17.4,83,18.83,100.6,5.82
24/01/17,26.67,1.91,17.03,79.62,1.8,100.6,5.87
25/01/17,27.01,1.23,17.15,78.81,0.81,100.57,5.98
26/01/17,27,1.71,16.97,78.81,0.08,100.64,5.96
27/01/17,27.33,2.16,17.4,78.88,0.13,100.69,5.67
28/01/17,27.74,2.48,17.64,77.81,0.12,100.63,5.62
29/01/17,27.69,2.24,18.19,80.06,0.22,100.5,5.79
30/01/17,27.51,2.09,18.25,80.75,0.46,100.49,5.33
31/01/17,27.27,2.69,18.55,82.81,0.77,100.49,5.47
01/02/17,26.43,2.81,18.31,85.5,3.05,100.57,5.62
02/02/17,27.47,1.68,15.87,71.12,0.18,100.51,5.97
03/02/17,27.52,2.06,17.88,79.31,1.22,100.49,5.98
04/02/17,27.31,1.76,18.62,82.81,1.01,100.44,5.49
05/02/17,28.38,1.89,18.07,76.38,0.09,100.37,5.47
06/02/17,28.12,1.7,18.31,78,0.12,100.36,5.05
07/02/17,28.59,2.05,18.13,76,0.1,100.28,5.48
08/02/17,27.83,2.1,18.62,80.44,0.11,100.29,5.56
09/02/17,27.88,2.33,18.62,80.19,0.15,100.32,4.91
10/02/17,27.48,2.73,18.62,81.88,4.42,100.33,5.25
11/02/17,27.08,2.53,18.74,84,4.09,100.26,5.67
12/02/17,27.7,1.99,19.17,83,2.36,100.22,5.59
13/02/17,27.15,1.95,19.23,85.69,5.83,100.28,5.32
14/02/17,27.87,2.02,18.31,79.5,1.66,100.32,5.81
15/02/17,27.94,2.24,18.62,80.31,0.14,100.41,5.37
16/02/17,27.96,2.34,18.8,81,0.51,100.46,5.34
17/02/17,27.19,1.89,18.13,81.12,0.77,100.55,5.04
18/02/17,27.3,1.66,17.27,77.06,0.42,100.59,5.46
19/02/17,27.31,1.61,17.7,79.38,0.22,100.58,5.54
20/02/17,27.23,1.88,18.13,81.19,1.59,100.54,5.21
21/02/17,27.47,2.07,18.25,80.44,1.92,100.42,4.99
22/02/17,27.8,2.33,18.8,81.31,3.89,100.4,5.08
23/02/17,27.45,2.55,18.86,83,4.44,100.41,5.65
24/02/17,27.33,2.22,18.92,83.81,4.95,100.36,6.16
25/02/17,26.83,2.2,19.17,87,4.78,100.41,6.12
26/02/17,26.55,2.18,18.25,84,6.86,100.45,5.86
27/02/17,26.72,2.39,16.17,74.5,2.06,100.34,6.1
28/02/17,27.69,2.62,17.64,77.12,0.74,100.27,6.18
01/03/17,27.43,2.54,18.98,83.38,2.19,100.34,6.54
02/03/17,27.49,2.05,18.74,82.31,2.72,100.42,6.25
03/03/17,27.49,2.51,18.98,83.25,3.54,100.34,6.42
04/03/17,27.77,2.38,18.86,81.38,4.02,100.19,6.47
05/03/17,27.29,2.41,19.53,86.31,4.76,100.24,6.45
06/03/17,27.47,2.39,18.86,83,4.41,100.37,6.47
07/03/17,27.22,2.51,18.86,83.94,3.39,100.33,6.33
08/03/17,27.88,2.67,19.29,82.81,2.38,100.25,6.61
09/03/17,27.9,2.74,19.41,83.31,3.51,100.28,6.56
10/03/17,27.8,2.81,19.29,83.31,3.68,100.27,6.45
11/03/17,27.94,2.61,18.92,81.31,4.46,100.2,6.49
12/03/17,26.97,2.5,18.98,85.44,3.98,100.3,6.75
13/03/17,27.2,2.18,18.07,80.88,1.55,100.34,6.68
14/03/17,27.23,2.78,18.68,83.44,2.55,100.49,6.32
15/03/17,27.48,1.62,18.68,82.06,1.63,100.43,6.69
16/03/17,27.42,2.62,18.74,82.56,1.53,100.31,6.76
17/03/17,27.82,2.81,19.17,82.62,1.55,100.26,6.97
18/03/17,27.91,2.88,19.29,82.62,2.6,100.29,6.87
19/03/17,27.72,3.3,18.98,82.5,3.68,100.43,6.3
20/03/17,27.12,3.16,18.68,84.12,5.01,100.55,6.12
21/03/17,26.48,3.02,18.86,87.38,3.79,100.54,5.96
22/03/17,27.15,2.99,19.29,86.19,4.49,100.49,6.48
23/03/17,27.06,2.77,18.49,83.5,7.29,100.51,6.47
24/03/17,26.38,2.02,18.19,84.88,6.06,100.56,6.52
25/03/17,26.83,1.92,18.49,84.31,2.19,100.5,6.8
26/03/17,27.15,2.16,19.17,85.62,2.75,100.43,6.21
27/03/17,26.86,1.89,19.65,89.12,2.51,100.42,6.64
28/03/17,27.65,2.08,19.65,85.5,1.88,100.36,6.73
29/03/17,27.51,2.41,19.84,86.5,3.63,100.31,6.75
30/03/17,27.2,2.44,19.41,86.38,4.18,100.45,6.65
31/03/17,27.29,1.71,17.76,79.62,0.3,100.52,6.5
01/04/17,27.94,2.03,19.35,82.69,9.53,100.41,6.66
02/04/17,27.34,2.45,19.17,84.31,9.96,100.39,6.9
03/04/17,26.85,1.84,18.74,85.25,18.14,100.48,6.66
04/04/17,26.94,1.79,17.94,81.75,1.29,100.48,6.06
